image,track_id,center_y,center_x,center_y_norm,center_x_norm,radius_px,diameter_px,area_px2,perimeter_px,accumulator_score,bbox_x_min,bbox_x_max,bbox_y_min,bbox_y_max,touches_border,mean_intensity_inside,std_intensity_inside,median_intensity_inside,min_intensity_inside,max_intensity_inside,integrated_intensity_inside,mean_intensity_annulus_bg,std_intensity_annulus_bg,local_contrast_inside_minus_bg,local_snr,edge_support_ratio,mean_gradient_on_boundary,image_height,image_width,nearest_neighbor_distance_px,overlap_count,max_overlap_ratio,isolated_track
1.bmp,1,706.0,1082.0,0.7361835245046924,0.8459734167318217,20.0,40.0,1256.6370614359173,125.66370614359172,0.866666666666666,1062.0,1102.0,686.0,726.0,False,36.242641209228324,43.98121927268684,15.0,7.0,255.0,45557.0,222.3834745762712,3.5842141840507025,-186.1408333670429,-51.93351284510116,0.3951612903225806,0.299390370941072,960,1280,57.0087712549569,0,0.0,True
1.bmp,2,159.0,572.0,0.16579770594369134,0.4472243940578577,24.0,48.0,1809.5573684677208,150.79644737231007,0.8472222222222202,548.0,596.0,135.0,183.0,False,24.221974344673733,33.5850939485523,9.0,4.0,237.0,43430.0,219.6787819253438,3.2036266423604784,-195.45680758067007,-61.011106911195384,0.375,0.26985444144536597,960,1280,106.53168542738823,0,0.0,True
1.bmp,3,920.0,156.0,0.959332638164755,0.12197028928850664,23.0,46.0,1661.9025137490005,144.51326206513048,0.7941176470588216,133.0,179.0,897.0,943.0,False,20.418027828191168,25.1806076630636,10.0,5.0,203.0,33751.0,182.1947424892704,55.097281837862134,-161.77671466107924,-2.9362013744551994,0.39485981308411217,0.23380886494238098,960,1280,48.373546489791295,0,0.0,True
1.bmp,4,550.0,714.0,0.5735140771637122,0.5582486317435497,7.0,14.0,153.93804002589985,43.982297150257104,0.7500000000000002,707.0,721.0,543.0,557.0,False,108.30201342281879,30.713157597964486,111.0,27.0,173.0,16137.0,158.67777777777778,92.77934729211356,-50.37576435495899,-0.5429631251484401,0.3515625,0.2061565235325568,960,1280,28.0178514522438,1,0.06607161825854,False
1.bmp,5,405.0,77.0,0.42231491136600624,0.060203283815480846,23.0,46.0,1661.9025137490005,144.51326206513048,0.7499999999999982,54.0,100.0,382.0,428.0,False,30.431941923774954,38.26983820600273,13.0,6.0,253.0,50304.0,219.25375536480686,3.6241747404886095,-188.8218134410319,-52.10063723790618,0.38317757009345793,0.27643912207014504,960,1280,87.28115489611719,0,0.0,True
1.bmp,6,694.0,1190.0,0.7236704900938478,0.9304143862392494,23.0,46.0,1661.9025137490005,144.51326206513048,0.7352941176470571,1167.0,1213.0,671.0,717.0,False,24.88808227465215,32.452117411865395,11.0,6.0,227.0,41140.0,217.88412017167383,19.18448622662463,-192.99603789702167,-10.060005549127903,0.3855140186915888,0.27144911329902494,960,1280,56.639209034025185,0,0.0,True
1.bmp,7,61.0,761.0,0.06360792492179354,0.5949960906958561,8.0,16.0,201.06192982974676,50.26548245743669,0.7291666666666669,753.0,769.0,53.0,69.0,False,42.19796954314721,23.880973798880746,36.0,14.0,136.0,8313.0,217.12037037037038,15.381998613454213,-174.92240082722316,-11.371890300016798,0.3782051282051282,0.2951179520080876,960,1280,64.03124237432849,0,0.0,True
1.bmp,8,292.0,229.0,0.3044838373305527,0.17904612978889758,19.0,38.0,1134.1149479459152,119.38052083641213,0.7053571428571427,210.0,248.0,273.0,311.0,False,21.441098317094774,26.431862248604766,10.0,5.0,155.0,24207.0,201.81426332288402,50.98113379922196,-180.37316500578925,-3.5380375359274265,0.40294117647058825,0.26858232615393085,960,1280,35.38361202590826,0,0.0,True
1.bmp,9,469.0,1098.0,0.48905109489051096,0.8584831899921814,24.0,48.0,1809.5573684677208,150.79644737231007,0.7013888888888874,1074.0,1122.0,445.0,493.0,False,27.63692136084774,36.516898851521375,10.0,5.0,233.0,49553.0,221.06581532416502,3.045430467454985,-193.42889396331728,-63.51446734060523,0.3618421052631579,0.2693983128202709,960,1280,79.6994353806851,0,0.0,True
1.bmp,10,622.0,854.0,0.64859228362878,0.6677091477716967,23.0,46.0,1661.9025137490005,144.51326206513048,0.6911764705882337,831.0,877.0,599.0,645.0,False,20.310949788263763,30.09941354227903,8.0,4.0,232.0,33574.0,220.7269313304721,3.440481679709622,-200.41598154220833,-58.25230307840653,0.39953271028037385,0.26210812152291035,960,1280,118.59595271340417,0,0.0,True
